strategy,task,arrival,start,end,deadline,wait,deadline_missed
FCFS,tau1,0,0.0,0.000139,10,0.0,False
FCFS,tau2,0,0.0001389999999998892,3.000139,10,0.0001389999999998892,False
FCFS,tau3,0,3.000139,5.000139,20,3.000139,False
FCFS,tau4,0,5.000139,7.000139,20,5.000139,False
FCFS,tau5,0,7.000139000000001,9.000139,40,7.000139000000001,False
FCFS,tau6,0,9.000139,11.000139,40,9.000139,False
FCFS,tau7,0,11.000139,14.000139,80,11.000139,False
FCFS,tau1,10,14.000139,14.000278000000002,20,4.000139000000001,False
FCFS,tau2,10,14.000278000000002,17.000278,20,4.0002780000000016,False
FCFS,tau1,20,20.0,20.000139,30,0.0,False
FCFS,tau2,20,20.000139,23.000139,30,0.0001390000000007774,False
FCFS,tau3,20,23.000139,25.000139,40,3.0001390000000008,False
FCFS,tau4,20,25.000139,27.000139,40,5.000139000000001,False
FCFS,tau1,30,30.0,30.000139,40,0.0,False
FCFS,tau2,30,30.000139000000004,33.000139000000004,40,0.0001390000000043301,False
FCFS,tau1,40,40.0,40.000139,50,0.0,False
FCFS,tau2,40,40.000139,43.000139,50,0.00013899999999722468,False
FCFS,tau3,40,43.000139,45.000139,60,3.0001389999999972,False
FCFS,tau4,40,45.000139,47.000139,60,5.000138999999997,False
FCFS,tau5,40,47.000139,49.000139,80,7.000138999999997,False
FCFS,tau6,40,49.000139,51.000139,80,9.000138999999997,False
FCFS,tau1,50,51.000139,51.000277999999994,60,1.0001389999999972,False
FCFS,tau2,50,51.000277999999994,54.000277999999994,60,1.0002779999999944,False
FCFS,tau1,60,60.0,60.000139,70,0.0,False
FCFS,tau2,60,60.000139,63.000139,70,0.00013899999999722468,False
FCFS,tau3,60,63.00013899999999,65.00013899999999,80,3.00013899999999,False
FCFS,tau4,60,65.00013899999999,67.00013899999999,80,5.00013899999999,False
FCFS,tau1,70,70.0,70.000139,80,0.0,False
FCFS,tau2,70,70.000139,73.000139,80,0.0001390000000043301,False
