strategy,task,arrival,start,end,deadline,wait,deadline_missed
SJF,tau1,0,0.0,0.000139,10,0.0,False
SJF,tau3,0,0.0001389999999998892,2.000139,20,0.0001389999999998892,False
SJF,tau4,0,2.000139,4.000139,20,2.000139,False
SJF,tau5,0,4.000139,6.000139,40,4.000139,False
SJF,tau6,0,6.000139000000001,8.000139,40,6.000139000000001,False
SJF,tau2,0,8.000139,11.000139,10,8.000139,True
SJF,tau1,10,11.000139,11.000278000000002,20,1.0001390000000008,False
SJF,tau2,10,11.000278000000002,14.000278000000002,20,1.0002780000000016,False
SJF,tau7,0,14.000278000000002,17.000278,80,14.000278000000002,False
SJF,tau1,20,20.0,20.000139,30,0.0,False
SJF,tau3,20,20.000139,22.000139,40,0.0001390000000007774,False
SJF,tau4,20,22.000139,24.000139,40,2.0001390000000008,False
SJF,tau2,20,24.000139,27.000139,30,4.000139000000001,False
SJF,tau1,30,30.0,30.000139,40,0.0,False
SJF,tau2,30,30.000139000000004,33.000139000000004,40,0.0001390000000043301,False
SJF,tau1,40,40.0,40.000139,50,0.0,False
SJF,tau3,40,40.000139,42.000139,60,0.00013899999999722468,False
SJF,tau4,40,42.000139,44.000139,60,2.0001389999999972,False
SJF,tau5,40,44.000139,46.000139,80,4.000138999999997,False
SJF,tau6,40,46.000139,48.000139,80,6.000138999999997,False
SJF,tau2,40,48.000139,51.000139,50,8.000138999999997,True
SJF,tau1,50,51.000139,51.000277999999994,60,1.0001389999999972,False
SJF,tau2,50,51.000277999999994,54.000277999999994,60,1.0002779999999944,False
SJF,tau1,60,60.0,60.000139,70,0.0,False
SJF,tau3,60,60.000139,62.000139,80,0.00013899999999722468,False
SJF,tau4,60,62.00013899999999,64.00013899999999,80,2.00013899999999,False
SJF,tau2,60,64.00013899999999,67.00013899999999,70,4.00013899999999,False
SJF,tau1,70,70.0,70.000139,80,0.0,False
SJF,tau2,70,70.000139,73.000139,80,0.0001390000000043301,False
