strategy,task,arrival,start,end,deadline,wait,deadline_missed
LJF,tau2,0,0.0,3.0,10,0.0,False
LJF,tau7,0,3.0,6.0,80,3.0,False
LJF,tau3,0,6.0,8.0,20,6.0,False
LJF,tau4,0,8.0,10.0,20,8.0,False
LJF,tau2,10,10.0,13.0,20,0.0,False
LJF,tau6,0,13.0,15.0,40,13.0,False
LJF,tau1,0,15.0,15.000139,10,15.0,True
LJF,tau1,10,15.000139,15.000278000000002,20,5.000139000000001,False
LJF,tau5,0,15.000278000000002,17.000278,40,15.000278000000002,False
LJF,tau2,20,20,23,30,0,False
LJF,tau3,20,23,25,40,3,False
LJF,tau4,20,25,27,40,5,False
LJF,tau1,20,27.0,27.000139,30,7.0,False
LJF,tau2,30,30,33,40,0,False
LJF,tau1,30,33.0,33.000139,40,3.0,False
LJF,tau2,40,40,43,50,0,False
LJF,tau3,40,43,45,60,3,False
LJF,tau4,40,45,47,60,5,False
LJF,tau6,40,47,49,80,7,False
LJF,tau1,40,49.0,49.000139,50,9.0,False
LJF,tau5,40,49.000139,51.000139,80,9.000138999999997,False
LJF,tau2,50,51.000139,54.000139,60,1.0001389999999972,False
LJF,tau1,50,54.000139,54.000277999999994,60,4.000138999999997,False
LJF,tau2,60,60,63,70,0,False
LJF,tau3,60,63,65,80,3,False
LJF,tau4,60,65,67,80,5,False
LJF,tau1,60,67.0,67.000139,70,7.0,False
LJF,tau2,70,70,73,80,0,False
LJF,tau1,70,73.0,73.000139,80,3.0,False
