iteration,time_ns
1,94
2,60
3,33
4,32
5,31
6,33
7,31
8,31
9,30
10,30
11,31
12,32
13,33
14,33
15,30
16,34
17,32
18,33
19,33
20,32
21,32
22,31
23,31
24,31
25,34
26,34
27,32
28,34
29,32
30,32
31,34
32,31
33,32
34,32
35,30
36,31
37,33
38,32
39,32
40,30
41,34
42,32
43,32
44,32
45,33
46,32
47,32
48,30
49,30
50,30
51,33
52,34
53,32
54,31
55,32
56,32
57,32
58,32
59,33
60,32
61,31
62,31
63,32
64,32
65,30
66,33
67,30
68,31
69,32
70,32
71,32
72,31
73,32
74,32
75,32
76,32
77,30
78,31
79,33
80,33
81,32
82,32
83,31
84,31
85,67
86,32
87,33
88,33
89,33
90,31
91,32
92,33
93,33
94,33
95,32
96,30
97,32
98,33
99,31
100,32
101,32
102,33
103,31
104,31
105,32
106,31
107,32
108,30
109,32
110,32
111,32
112,32
113,32
114,32
115,31
116,31
117,31
118,31
119,33
120,32
121,31
122,30
123,32
124,30
125,35
126,33
127,34
128,33
129,31
130,31
131,32
132,31
133,33
134,32
135,31
136,31
137,34
138,32
139,30
140,32
141,31
142,33
143,33
144,32
145,31
146,31
147,32
148,32
149,31
150,33
151,33
152,35
153,33
154,33
155,32
156,35
157,30
158,31
159,31
160,31
161,69
162,31
163,31
164,33
165,33
166,30
167,33
168,32
169,32
170,32
171,31
172,31
173,32
174,33
175,32
176,33
177,32
178,31
179,32
180,34
181,33
182,32
183,33
184,31
185,31
186,32
187,32
188,31
189,32
190,30
191,30
192,32
193,32
194,32
195,33
196,32
197,32
198,32
199,30
200,32
201,32
202,32
203,32
204,33
205,32
206,31
207,31
208,31
209,30
210,31
211,32
212,32
213,30
214,33
215,31
216,31
217,30
218,31
219,33
220,33
221,32
222,32
223,30
224,31
225,29
226,32
227,32
228,32
229,32
230,32
231,33
232,33
233,33
234,67
235,31
236,33
237,32
238,31
239,32
240,32
241,31
242,33
243,34
244,32
245,32
246,32
247,32
248,32
249,31
250,34
251,31
252,33
253,34
254,31
255,33
256,32
257,31
258,33
259,33
260,32
261,31
262,32
263,30
264,33
265,32
266,33
267,33
268,34
269,33
270,33
271,33
272,31
273,33
274,32
275,32
276,30
277,33
278,31
279,33
280,32
281,32
282,34
283,32
284,30
285,30
286,34
287,31
288,32
289,33
290,32
291,31
292,33
293,31
294,34
295,32
296,32
297,30
298,33
299,32
300,32
301,31
302,31
303,32
304,32
305,33
306,34
307,69
308,32
309,32
310,34
311,31
312,30
313,31
314,32
315,33
316,34
317,32
318,31
319,32
320,31
321,31
322,31
323,32
324,32
325,34
326,31
327,32
328,31
329,33
330,31
331,32
332,31
333,32
334,32
335,31
336,32
337,31
338,31
339,33
340,31
341,32
342,34
343,32
344,34
345,33
346,33
347,32
348,33
349,33
350,33
351,33
352,32
353,34
354,31
355,33
356,31
357,31
358,32
359,33
360,31
361,32
362,33
363,31
364,32
365,32
366,32
367,34
368,29
369,31
370,32
371,33
372,32
373,33
374,31
375,32
376,32
377,30
378,32
379,32
380,63
381,31
382,29
383,29
384,30
385,30
386,29
387,28
388,29
389,31
390,32
391,29
392,31
393,27
394,29
395,29
396,29
397,28
398,30
399,30
400,29
401,29
402,29
403,31
404,30
405,29
406,29
407,30
408,30
409,28
410,28
411,29
412,29
413,28
414,30
415,29
416,28
417,30
418,30
419,28
420,30
421,29
422,29
423,29
424,29
425,30
426,30
427,29
428,30
429,29
430,30
431,30
432,30
433,29
434,29
435,29
436,30
437,29
438,28
439,32
440,29
441,29
442,31
443,29
444,29
445,29
446,30
447,30
448,28
449,31
450,30
451,29
452,29
453,63
454,30
455,28
456,29
457,30
458,30
459,29
460,30
461,30
462,30
463,28
464,31
465,30
466,28
467,31
468,30
469,29
470,29
471,30
472,29
473,29
474,29
475,29
476,29
477,30
478,30
479,29
480,30
481,26
482,29
483,29
484,30
485,28
486,28
487,30
488,29
489,29
490,30
491,30
492,29
493,30
494,30
495,30
496,26
497,29
498,29
499,30
500,31
501,30
502,31
503,29
504,29
505,28
506,30
507,28
508,29
509,29
510,29
511,30
512,30
513,30
514,31
515,28
516,29
517,29
518,31
519,29
520,29
521,26
522,31
523,28
524,31
525,29
526,62
527,29
528,30
529,30
530,29
531,27
532,30
533,30
534,30
535,32
536,30
537,31
538,29
539,29
540,30
541,30
542,29
543,29
544,28
545,29
546,31
547,30
548,29
549,29
550,28
551,29
552,30
553,30
554,28
555,29
556,29
557,31
558,29
559,28
560,30
561,27
562,30
563,29
564,29
565,31
566,30
567,29
568,30
569,29
570,30
571,28
572,30
573,30
574,29
575,31
576,29
577,30
578,31
579,29
580,30
581,31
582,30
583,31
584,30
585,29
586,29
587,30
588,29
589,30
590,30
591,30
592,29
593,29
594,30
595,29
596,30
597,29
598,30
599,29
600,116
601,54
602,55
603,58
604,54
605,54
606,55
607,53
608,55
609,56
610,53
611,54
612,58
613,55
614,52
615,54
616,54
617,55
618,53
619,54
620,58
621,55
622,54
623,56
624,56
625,53
626,53
627,56
628,55
629,52
630,53
631,57
632,54
633,57
634,54
635,57
636,55
637,52
638,54
639,53
640,54
641,53
642,53
643,55
644,55
645,54
646,52
647,54
648,53
649,52
650,55
651,55
652,53
653,54
654,55
655,54
656,54
657,54
658,53
659,52
660,53
661,53
662,54
663,53
664,52
665,52
666,56
667,55
668,53
669,54
670,53
671,54
672,54
673,114
674,52
675,53
676,56
677,54
678,53
679,53
680,55
681,53
682,53
683,54
684,54
685,54
686,55
687,55
688,55
689,54
690,54
691,52
692,52
693,53
694,55
695,54
696,57
697,54
698,52
699,52
700,55
701,52
702,54
703,52
704,52
705,52
706,57
707,53
708,52
709,52
710,53
711,54
712,55
713,54
714,53
715,52
716,56
717,52
718,53
719,55
720,57
721,56
722,53
723,54
724,57
725,57
726,55
727,58
728,57
729,55
730,53
731,52
732,53
733,55
734,53
735,52
736,55
737,53
738,54
739,55
740,52
741,54
742,53
743,53
744,53
745,53
746,73
747,35
748,35
749,33
750,32
751,34
752,33
753,33
754,33
755,33
756,35
757,35
758,34
759,33
760,32
761,34
762,32
763,32
764,35
765,34
766,33
767,32
768,35
769,34
770,34
771,30
772,33
773,34
774,35
775,33
776,32
777,32
778,33
779,34
780,35
781,34
782,35
783,32
784,35
785,33
786,34
787,35
788,32
789,32
790,35
791,33
792,35
793,33
794,33
795,32
796,32
797,35
798,33
799,34
800,32
801,34
802,33
803,32
804,34
805,33
806,34
807,35
808,33
809,33
810,34
811,32
812,32
813,32
814,33
815,34
816,32
817,34
818,34
819,115
820,53
821,54
822,55
823,57
824,52
825,53
826,54
827,52
828,54
829,53
830,57
831,53
832,53
833,55
834,57
835,58
836,55
837,53
838,55
839,55
840,53
841,50
842,56
843,55
844,54
845,55
846,58
847,54
848,54
849,57
850,55
851,53
852,54
853,54
854,54
855,57
856,52
857,54
858,54
859,58
860,57
861,55
862,53
863,58
864,51
865,52
866,56
867,52
868,55
869,53
870,53
871,55
872,55
873,57
874,57
875,56
876,55
877,52
878,55
879,57
880,53
881,53
882,52
883,52
884,52
885,57
886,52
887,53
888,53
889,52
890,54
891,54
892,114
893,52
894,55
895,54
896,55
897,56
898,52
899,57
900,54
901,55
902,52
903,52
904,53
905,52
906,53
907,54
908,53
909,55
910,55
911,57
912,56
913,54
914,54
915,52
916,54
917,52
918,55
919,58
920,57
921,55
922,53
923,54
924,53
925,56
926,53
927,53
